,Rannsakningsfångar o. ådömde fängelse vid vatten och bröd_M.,Rannsakningsfångar o. ådömde fängelse vid vatten och bröd_Q.,"Personer, ådömde fängelse för vites- och ensaks-böter._M.","Personer, ådömde fängelse för vites- och ensaks-böter._Q.",Pionnierer,Försvarslöse personer och derföre häktade._M.,Försvarslöse personer och derföre häktade._Q.,Bysatte personer._M.,Bysatte personer._Q.,Summa.,Summa Summarum.,"Barn, som åtföljt föräldrar i fängelse."
Stockholms Stadshäkten,3638,1026,37,9,7,909,364,284,21,,6295,19
Uppsala Länshäkte,102,24,28,5,7,94,22,7,,,289,21
Stockholms D:o,352,64,50,2,53,297,24,8,,,850,19
Mariestads D:o,468,39,282,47,6,163,32,8,,,1045,12
Wexiö D:o,116,20,22,4,,81,15,1,,,259,13
Jönköpings D:o,237,62,54,20,9,141,43,16,,,582,34
Westerås D:o,128,23,68,8,,166,40,,,,433,43
Linköpings D:o,288,32,94,16,10,163,25,8,,636,,3
Norrköpings Stadshäkte,83,17,33,3,10,29,3,1,,179,815,
Nyköpings Länshäkte,398,14,157,9,3,91,11,2,,685,,6
Andra Häkten,49,8,,,,,,,,57,742,
Wenersborgs Länshäkten,183,17,65,10,14,86,20,17,,412,,18
Alingsås Kronohäkte,355,32,132,10,11,131,15,,,686,1098,13
Calmar Länshäkte,461,64,102,27,8,122,25,8,,,817,21
Fahlu D:o,160,18,3,7,1,85,29,31,,,334,16
Örebro D:o,106,28,42,12,,92,26,13,,319,,18
Nora Kronofängelse,48,17,4,1,,4,1,,,75,394,
Carlstads Länshäkte,157,27,29,12,,92,23,6,1,347,,32
Christinehamns Stadshäkte,,,,,,,,,,,,
Philipstads D:o,,,,,,,,,,,,
Gefle Länshäkte,123,15,4,,9,57,9,7,,,224,5
Hernösands D:o,67,15,5,,,16,8,4,,115,,17
Medelpads D:o,52,14,55,6,,1,3,3,1,135,250,8
Umeå D:o,57,11,8,1,1,9,2,,,,89,1
Wisby D:o,38,17,,,,5,,4,,,64,1
Malmö D:o,329,56,34,10,,441,91,33,1,995,,65
Landskrona D:o,113,24,11,2,3,106,8,4,2,273,1268,3
Christianstads D:o,247,45,27,2,8,158,29,3,,,519,28
Carlskrona Amiralitets-häkte,118,,206,,33,111,,,,468,,
Carlskrona Rådhus-häkte,1,19,2,33,,,26,10,1,92,,14
Carlshamns Stadshäkte,8,,1,,,,,,,9,569,
Halmstads Länshäkte,105,22,17,3,5,73,17,6,,248,,7
Warbergs D:o,144,24,55,9,1,51,17,11,,312,560,8
Götheborgs D:o,278,18,42,6,35,200,24,13,,616,,12
Götheborgs Stadshäkte,144,27,16,3,2,103,35,21,,351,967,4
Östersunds Länshäkte,47,7,5,1,,23,9,9,,,101,13
Piteå D:o,46,11,8,2,,23,5,1,,,96,3
Summa,9246,1857,1698,280,236,4123,1001,539,27,,19007,477
